WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.7052119833 -43.6228193333),141615,1781179,40389,"101 Mangins Road, Highbank",101,101,,Mangins Road,Highbank,Ashburton District,Mangins Road,"101 Mangins Road, Highbank",Highbank,171.705211983,-43.6228193333
POINT (171.7204149 -43.9210496667),141973,1780688,34253,"120 McMurdo Street, Tinwald, Ashburton",120,120,,McMurdo Street,Tinwald,Ashburton District,McMurdo Street,"120 McMurdo Street, Tinwald, Ashburton",Tinwald,171.7204149,-43.9210496667
POINT (171.7168337 -43.9229898167),142085,1780688,32349,"148 McMurdo Street, Tinwald, Ashburton",148,148,,McMurdo Street,Tinwald,Ashburton District,McMurdo Street,"148 McMurdo Street, Tinwald, Ashburton",Tinwald,171.7168337,-43.9229898167
POINT (171.7245264667 -43.9201733167),142329,1786291,40376,"90 Thomson Street, Tinwald, Ashburton",90,90,,Thomson Street,Tinwald,Ashburton District,Thomson Street,"90 Thomson Street, Tinwald, Ashburton",Tinwald,171.724526467,-43.9201733167
POINT (171.7210620167 -43.9176941833),142352,1780715,36422,"97 George Street, Tinwald, Ashburton",97,97,,George Street,Tinwald,Ashburton District,George Street,"97 George Street, Tinwald, Ashburton",Tinwald,171.721062017,-43.9176941833
POINT (171.7184306833 -43.9266262),142419,1780820,41676,"183 Grove Street, Tinwald, Ashburton",183,183,,Grove Street,Tinwald,Ashburton District,Grove Street,"183 Grove Street, Tinwald, Ashburton",Tinwald,171.71843068299998,-43.9266262
POINT (171.7344251333 -43.8897165333),142585,3045702,292722,"145 Alford Forest Road, Allenton, Ashburton",145,145,,Alford Forest Road,Allenton,Ashburton District,Alford Forest Road,"145 Alford Forest Road, Allenton, Ashburton",Allenton,171.734425133,-43.889716533299996
POINT (171.72877375 -43.9138628667),142668,1780725,50659,"1 Nixon Street, Tinwald, Ashburton",1,1,,Nixon Street,Tinwald,Ashburton District,Nixon Street,"1 Nixon Street, Tinwald, Ashburton",Tinwald,171.72877375,-43.9138628667
POINT (171.7285462333 -43.91228105),142798,1780787,43094,"5 Knox Place, Tinwald, Ashburton",5,5,,Knox Place,Tinwald,Ashburton District,Knox Place,"5 Knox Place, Tinwald, Ashburton",Tinwald,171.728546233,-43.91228105
POINT (171.7315074833 -43.9173639),142982,1841174,30004,"41 Wilkin Street, Tinwald, Ashburton",41,41,,Wilkin Street,Tinwald,Ashburton District,Wilkin Street,"41 Wilkin Street, Tinwald, Ashburton",Tinwald,171.731507483,-43.9173639
POINT (171.7271363333 -43.91916335),143105,1786291,31467,"67 Thomson Street, Tinwald, Ashburton",67,67,,Thomson Street,Tinwald,Ashburton District,Thomson Street,"67 Thomson Street, Tinwald, Ashburton",Tinwald,171.727136333,-43.91916335
POINT (171.7281529333 -43.9213165333),143153,1780820,53262,"77 Grove Street, Tinwald, Ashburton",77,77,,Grove Street,Tinwald,Ashburton District,Grove Street,"77 Grove Street, Tinwald, Ashburton",Tinwald,171.728152933,-43.9213165333
POINT (171.73880905 -43.8825464167),143316,1780711,40704,"11 Hefford Place, Allenton, Ashburton",11,11,,Hefford Place,Allenton,Ashburton District,Hefford Place,"11 Hefford Place, Allenton, Ashburton",Allenton,171.73880905,-43.8825464167
POINT (171.7394252833 -43.8837058),143352,1780722,312982,"14 Bathurst Street, Allenton, Ashburton",14,14,,Bathurst Street,Allenton,Ashburton District,Bathurst Street,"14 Bathurst Street, Allenton, Ashburton",Allenton,171.739425283,-43.883705799999994
POINT (171.7378955667 -43.8820549333),143473,1787357,30412,"29 Glassey Drive, Allenton, Ashburton",29,29,,Glassey Drive,Allenton,Ashburton District,Glassey Drive,"29 Glassey Drive, Allenton, Ashburton",Allenton,171.737895567,-43.8820549333
POINT (171.7384915833 -43.8843073667),143480,1780722,49319,"2 Bathurst Street, Allenton, Ashburton",2,2,,Bathurst Street,Allenton,Ashburton District,Bathurst Street,"2 Bathurst Street, Allenton, Ashburton",Allenton,171.73849158299998,-43.8843073667
POINT (171.7369555333 -43.8845676333),143503,1780814,49775,"33 Charles Street, Allenton, Ashburton",33,33,,Charles Street,Allenton,Ashburton District,Charles Street,"33 Charles Street, Allenton, Ashburton",Allenton,171.73695553299999,-43.8845676333
