,id,address,boolean
18112,18113,"42 Harris Street, Pleasant Point",Request timed out
18113,18114,"5 Burke Street, Pleasant Point",Request timed out
18124,18125,"16 Cardiff Street, Marchwiel, Timaru",Request timed out
18126,18127,"19 Hinau Place, Glenwood, Timaru",Request timed out
18128,18129,"81 Orbell Street, Highfield, Timaru",Request timed out
18131,18132,"14 Elworthy Street, Pareora",Request timed out
18133,18134,"11 Sherratt Road, Geraldine Downs",Request timed out
18142,18143,"49 Maltby Avenue, West End, Timaru",Request timed out
18158,18159,"44 Wilson Street, Geraldine",Request timed out
18166,18167,"148 Hilton Highway, Washdyke, Timaru",Request timed out
18167,18168,"16 Meadows Road, Washdyke, Timaru",Request timed out
18170,18171,"18 Clyde Carr Crescent, Waimataitai, Timaru",Request timed out
18173,18174,"22 Wai-Iti Road, Maori Hill, Timaru",Request timed out
18176,18177,"31 Beverley Road, Maori Hill, Timaru",Request timed out
18181,18182,"10 Matilda Street, Seaview, Timaru",Request timed out
18182,18183,"32 Hassall Street, Parkside, Timaru",Request timed out
18184,18185,"57 Harper Street, Parkside, Timaru",Request timed out
18188,18189,"14 Maling Street, Geraldine",Request timed out
18189,18190,"67 Connolly Street, Geraldine",Request timed out
18192,18193,"12 Church Street, Timaru",Request timed out
18195,18196,"14 Marston Road, Kensington, Timaru",Request timed out
18196,18197,"18 Marston Road, Kensington, Timaru",Request timed out
18197,18198,"22 Cambridge Street, Kensington, Timaru",Request timed out
18199,18200,"38 Victoria Street, Parkside, Timaru",Request timed out
18208,18209,"10 Maddren Street, Winchester",Request timed out
18221,18222,"22 Maude Street, Temuka",Request timed out
18222,18223,"11 Muff Road, Orari",Request timed out
18232,18233,"1/27 Arthur Street, Timaru",Request timed out
18233,18234,"2/115 Talbot Street, Geraldine",Request timed out
18246,18247,"8A Baker Street, West End, Timaru",Request timed out
18248,18249,"24 Latter Street, Timaru",Request timed out
18251,18252,"16A Maltby Avenue, West End, Timaru",Request timed out
18267,18268,"156 Claremont Road, Otipua Creek",Request timed out
18276,18277,"18 Clifford Street, Pareora",Request timed out
18301,18302,"41 Mountain View Road, Glenwood, Timaru",Request timed out
18302,18303,"14 Rowan Place, Gleniti, Timaru",Request timed out
18306,18307,"24 Roxburgh Street, Glenwood, Timaru",Request timed out
18338,18339,"20 Raymond Street, West End, Timaru",Request timed out
18346,18347,"5 Grantlea Drive, Marchwiel, Timaru",Request timed out
18352,18353,"23 Sefton Street, Seaview, Timaru",Request timed out
18362,18363,"18 Maling Street, Geraldine",Request timed out
18364,18365,"81 Connolly Street, Geraldine",Request timed out
18374,18375,"26 Arowhenua Road, Kerrytown",Request timed out
18375,18376,"101 Aorangi Road, Washdyke, Timaru",Request timed out
18390,18391,"11 Hornbrook Street, Temuka",Request timed out
18391,18392,"24 Hayhurst Street, Temuka",Request timed out
18412,18413,"14A Bidwill Street, Seaview, Timaru",Request timed out
18420,18421,"132 Rockdale Road, Fairview",Request timed out
18424,18425,"18 Stafford Street, Parkside, Timaru",Request timed out
18427,18428,"9 Hunter Hills Drive, Gleniti, Timaru",Request timed out
18430,18431,"28 Wallingford Road, Temuka",Request timed out
18438,18439,"17 Maitland Street, Pleasant Point",Request timed out
18439,18440,"12 Bayview Place, Timaru",Request timed out
18449,18450,"10 Matai Street, Pleasant Point",Request timed out
18475,18476,"43 Morgans Road, Glenwood, Timaru",Request timed out
18478,18479,"102 Kent Street, Marchwiel, Timaru",Request timed out
18481,18482,"6 Collingwood Street, Highfield, Timaru",Request timed out
18489,18490,"31 Regent Street, West End, Timaru",Request timed out
18507,18508,"100 Beverley Road, Maori Hill, Timaru",Request timed out
18508,18509,"12 Roslyn Terrace, West End, Timaru",Request timed out
18511,18512,"12 Matilda Street, Seaview, Timaru",Request timed out
18512,18513,"13 Wilson Street, Seaview, Timaru",Request timed out
18517,18518,"11 Campbell Street, Geraldine",Request timed out
18518,18519,"15 Maling Street, Geraldine",Request timed out
18550,18551,"28 Shaw Street, Temuka",Request timed out
18556,18557,"49 Dennistoun Road, Peel Forest",Request timed out
18570,18571,"20 George Street, Pleasant Point",Request timed out
18585,18586,"255 Stafford Street, Timaru",Request timed out
18586,18587,"263 Stafford Street, Timaru",Request timed out
18590,18591,"11 Seaforth Settlement Road, Seadown",Request timed out
18600,18601,"718 Arundel Belfield Road, Rangitata",Request timed out
18609,18610,"23 Hall Street, Timaru Port, Timaru",Request timed out
18610,18611,"32A Canon Street, Timaru",Request timed out
18618,18619,"20 Halstead Road, Pleasant Point",Request timed out
18623,18624,"20 High Street, Pareora West",Request timed out
18634,18635,"65 Mountain View Road, Glenwood, Timaru",Request timed out
18640,18641,"11 Balmoral Street, Marchwiel, Timaru",Request timed out
18642,18643,"6 Cardiff Street, Marchwiel, Timaru",Request timed out
18645,18646,"29 Barnes Street, Glenwood, Timaru",Request timed out
18646,18647,"32 Morgans Road, Glenwood, Timaru",Request timed out
18654,18655,"29 Kitchener Square, Highfield, Timaru",Request timed out
18658,18659,"69 Orbell Street, Highfield, Timaru",Request timed out
18659,18660,"9 Guinness Street, Highfield, Timaru",Request timed out
18668,18669,"7 Sealy Street, Highfield, Timaru",Request timed out
18687,18688,"20 Cain Street, Parkside, Timaru",Request timed out
18693,18694,"28 Bowker Street, Kensington, Timaru",Request timed out
18695,18696,"50 Harper Street, Parkside, Timaru",Request timed out
18698,18699,"10 Williamson Place, Geraldine",Request timed out
18699,18700,"26 Campbell Street, Geraldine",Request timed out
18704,18705,"26 Benvenue Avenue, Maori Hill, Timaru",Request timed out
18707,18708,"23 Royal Arcade, Timaru",Request timed out
18712,18713,"16 Craigie Avenue, Parkside, Timaru",Request timed out
18718,18719,"17 Cass Street, Temuka",Request timed out
