address,boolean
"30 Wallace Street, Kensington, Timaru ",Request timed out
"43 Connolly Street, Geraldine ",Request timed out
"20 The Terrace, Timaru ",Request timed out
"11 Church Street, Timaru ",Request timed out
"21 Hassall Street, Parkside, Timaru ",Request timed out
"28 Arthur Street, Timaru ",Request timed out
"20 Marston Road, Kensington, Timaru ",Request timed out
"3 Princes Street, Parkside, Timaru ",Request timed out
"35 Cambridge Street, Kensington, Timaru ",Request timed out
"11 Donald Street, Temuka ",Request timed out
"11 Maude Street, Temuka ",Request timed out
"396 Milford Clandeboye Road, Milford ",Request timed out
"199 Stafford Street, Timaru ",Request timed out
"140 Main Road, Pleasant Point ",Request timed out
"9 Lancewood Terrace, Oceanview, Timaru ",Request timed out
"213 Seven Sisters Road, Waitohi ",Request timed out
"25 Rimu Street, Glenwood, Timaru ",Request timed out
"49 Arun Street, Marchwiel, Timaru ",Request timed out
"15 Rugby Street, Highfield, Timaru ",Request timed out
"15 Grange Close, Marchwiel, Timaru ",Request timed out
"25 Hatton Street, West End, Timaru ",Request timed out
"36 Talbot Street, Geraldine ",Request timed out
"17 Hobbs Street, Waimataitai, Timaru ",Request timed out
"34 MacDonald Street, Waimataitai, Timaru ",Request timed out
"15 Cameron Street, Seaview, Timaru ",Request timed out
"38 Trafalgar Street, Maori Hill, Timaru ",Request timed out
"68 Wilson Street, Seaview, Timaru ",Request timed out
"14 Le Cren Street, Seaview, Timaru ",Request timed out
"8 Harper Street, Parkside, Timaru ",Request timed out
"18 McKenzie Street, Geraldine ",Request timed out
"41 Main North Road, Geraldine ",Request timed out
"23 Campbell Street, Geraldine ",Request timed out
"34 Campbell Street, Geraldine ",Request timed out
"32 Marston Road, Kensington, Timaru ",Request timed out
"36 Catherine Street, Parkside, Timaru ",Request timed out
"109 King Street, Temuka ",Request timed out
"20 Hamilton Street, Temuka ",Request timed out
"11 Harris Place, Temuka ",Request timed out
"17 Harris Place, Temuka ",Request timed out
"2/12A Nile Street, Highfield, Timaru ",Request timed out
"17A Tawa Street, Glenwood, Timaru ",Request timed out
"31B Cook Street, Oceanview, Timaru ",Request timed out
"25A George Street, Geraldine ",Request timed out
"19 Majors Road, Geraldine ",Request timed out
"10 Runa Terrace, Pleasant Point ",Request timed out
"1 Harris Street, Pleasant Point ",Request timed out
"154 Driscoll Road, Levels Valley ",Request timed out
"18 Waimarie Road, Woodbury ",Request timed out
"122 Richard Pearse Drive, Temuka ",Request timed out
"14 Grasmere Street, Waimataitai, Timaru ",Request timed out
"1/72 Hayhurst Street North, Temuka ",Request timed out
"50 Kauri Street, Highfield, Timaru ",Request timed out
"156 Otipua Road, Watlington, Timaru ",Request timed out
"49 Maude Street, Temuka ",Request timed out
"10 Meadowstone Street, Gleniti, Timaru ",Request timed out
"78A Douglas Street, Highfield, Timaru ",Request timed out
"55 Barnes Street, Glenwood, Timaru ",Request timed out
"106 Lynch Road, Levels ",Request timed out
"39 Marston Road, Kensington, Timaru ",Request timed out
"1 Thomas Street, Temuka ",Request timed out
"408 Pages Road, Gleniti, Timaru ",Request timed out
"49A Morgans Road, Glenwood, Timaru ",Request timed out
