,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
63293,Marlborough,Marlborough,30-Apr-18,MbBC180469,26 Percy Street Blenheim Marlborough,26 Percy Street,Blenheim,,,,,"$3,095.00 ",free-standing woodsman brunner mk ii log fire
63294,Marlborough,Marlborough,30-Apr-18,MbBC180500,27 Mills Street Seddon Marlborough,27 Mills Street,Seddon,,,,,"$3,000.00 ",free-standing metro eco tiny ped log fire
63295,Marlborough,Marlborough,30-Apr-18,MbBC180526,3 Kowhai Drive Renwick Marlborough,3 Kowhai Drive,Renwick,,,,,"$3,000.00 ",free-standing masport f2000 log fire
63296,Marlborough,Marlborough,30-Apr-18,MbBC180544,12 Alabama Road Blenheim Marlborough,12 Alabama Road,Blenheim,,,,,"$3,000.00 ",free-standing kent murchison log fire
63297,Marlborough,Marlborough,30-Apr-18,MbBC180397,12 A Burden Street Blenheim Marlborough,12 A Burden Street,Blenheim,,,,,"$3,000.00 ",free standing woodsman ecr novo log fire
63298,Marlborough,Marlborough,30-Apr-18,MbBC180421,21B Blairich View Blenheim Marlborough,21B Blairich View,Blenheim,,,,,"$3,000.00 ",free standing metro eco tiny ped log fire
63300,Marlborough,Marlborough,30-Apr-18,MbBC180461,44 Brydon Street Renwick Marlborough,44 Brydon Street,Renwick,,,,,"$3,000.00 ",free-standing woodsman ecr novo log fire
63301,Marlborough,Marlborough,30-Apr-18,MbBC180429,14 Ashwood Drive Blenheim Marlborough,14 Ashwood Drive,Blenheim,,,,,"$3,000.00 ",free standing metro wee rad log fire
63302,Marlborough,Marlborough,30-Apr-18,MbBC180501,777 SH 1 Koromiko Marlborough,777 SH 1,Koromiko,,,,,"$3,000.00 ",free-standing metro eco tiny rad log fire
63303,Marlborough,Marlborough,30-Apr-18,MbBC180524,4 Clyde Street Renwick Marlborough,4 Clyde Street,Renwick,,,,,"$3,000.00 ",free-standing woodsman ecr novo log fire
63305,Marlborough,Marlborough,30-Apr-18,MbBC180508,7 Goulter Street Seddon Marlborough,7 Goulter Street,Seddon,,,,,"$2,500.00 ",inbuilt kent logfire ii
63306,Marlborough,Marlborough,30-Apr-18,MbBC180545,213 Maxwell Road Blenheim Marlborough,213 Maxwell Road,Blenheim,,,,,"$2,500.00 ",free-standing woodsman ecr novo log fire
63308,Marlborough,Marlborough,30-Apr-18,MbBC180497,108 Waikawa Road Picton Marlborough,108 Waikawa Road,Picton,,,,,"$2,500.00 ",free-standing masport f3300c dry log fire
63310,Marlborough,Marlborough,30-Apr-18,MbBC180546,75 Lake Timara Road West Waihopai Marlborough,75 Lake Timara Road West,Waihopai,,,,,"$2,000.00 ",free-standing masport osburn 1600 log fire & inbuilt warmington open log fire
63311,Marlborough,Marlborough,30-Apr-18,MbBC180415,80 Mills and Ford Road East Rapaura Marlborough,80 Mills and Ford Road East,Rapaura,,,,,"$2,000.00 ",free-standing masport wanaka log fire
63312,Marlborough,Marlborough,30-Apr-18,MbBC180548,164 Old Renwick Road Rapaura Marlborough,164 Old Renwick Road,Rapaura,,,,,"$2,000.00 ",free-standing metro ltd wee rad log fire with wetback
63313,Marlborough,Marlborough,30-Apr-18,MbBC180414,169 Redwood Street Blenheim Marlborough,169 Redwood Street,Blenheim,,,,,"$2,000.00 ",free-standing woodsman brunner mk ii log fire
63331,Marlborough,Marlborough,30-May-18,MbBC180723,31 Birchwood Avenue Blenheim Marlborough,31 Birchwood Avenue,Blenheim,,,,,"$650,000.00 ",dwelling with attached garage & free-standing metro xtreme rad (base) log fire
