WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.19527925 -44.49761775),949578,3065883,321031,"33 Pareora River Road, Saint Andrews",33,33,,Pareora River Road,Saint Andrews,Waimate District,Pareora River Road,"33 Pareora River Road, Saint Andrews",Saint Andrews,171.19527925,-44.49761775
POINT (171.1384826833 -44.47515455),949594,3065883,56507,"551 Pareora River Road, Saint Andrews",551,551,,Pareora River Road,Saint Andrews,Waimate District,Pareora River Road,"551 Pareora River Road, Saint Andrews",Saint Andrews,171.138482683,-44.47515455
POINT (170.973752 -44.461279),949675,1782300,48468,"3 Middle Yards Road, Maungati",3,3,,Middle Yards Road,Maungati,Waimate District,Middle Yards Road,"3 Middle Yards Road, Maungati",Maungati,170.973752,-44.461279
POINT (170.971724 -44.461637),949676,1782300,48468,"16 Middle Yards Road, Maungati",16,16,,Middle Yards Road,Maungati,Waimate District,Middle Yards Road,"16 Middle Yards Road, Maungati",Maungati,170.971724,-44.461636999999996
POINT (170.945034 -44.421176),949718,1782347,51381,"249 Pratts Road, Maungati",249,249,,Pratts Road,Maungati,Waimate District,Pratts Road,"249 Pratts Road, Maungati",Maungati,170.94503400000002,-44.421176
POINT (170.890665 -44.352118),949745,1782141,51596,"198 Coffeys Road, Hunters Hills",198,198,,Coffeys Road,Hunters Hills,Waimate District,Coffeys Road,"198 Coffeys Road, Hunters Hills",Hunters Hills,170.89066499999998,-44.352118
POINT (170.9704689333 -44.8013872167),950374,1783557,320689,"12 Waikakahi Valley Road, Ikawai",12,12,,Waikakahi Valley Road,Ikawai,Waimate District,Waikakahi Valley Road,"12 Waikakahi Valley Road, Ikawai",Ikawai,170.970468933,-44.8013872167
POINT (171.023972 -44.726036),951134,1782242,54688,"44 Hunts Road, Waimate",44,44,,Hunts Road,Waimate,Waimate District,Hunts Road,"44 Hunts Road, Waimate",Waimate,171.023972,-44.726036
POINT (171.0488217667 -44.73991035),1082839,1783571,352173,"41 William Street, Waimate",41,41,,William Street,Waimate,Waimate District,William Street,"41 William Street, Waimate",Waimate,171.04882176700002,-44.73991035
POINT (171.0445577667 -44.7319653667),1176132,1782246,50883,"24 Innes Street, Waimate",24,24,,Innes Street,Waimate,Waimate District,Innes Street,"24 Innes Street, Waimate",Waimate,171.04455776700001,-44.7319653667
POINT (171.1013366667 -44.9174118833),1608763,3047401,349888,"1 Cherry Lane, Glenavy",1,1,,Cherry Lane,Glenavy,Waimate District,Cherry Lane,"1 Cherry Lane, Glenavy",Glenavy,171.101336667,-44.9174118833
POINT (171.0314762167 -44.7337081833),1729057,1786552,38340,"5 Hayes Street, Waimate",5,5,,Hayes Street,Waimate,Waimate District,Hayes Street,"5 Hayes Street, Waimate",Waimate,171.031476217,-44.7337081833
POINT (171.0470128333 -44.7331643667),1729062,3015409,50285,"82A Queen Street, Waimate",82A,82,,Queen Street,Waimate,Waimate District,Queen Street,"82A Queen Street, Waimate",Waimate,171.047012833,-44.7331643667
POINT (170.8080964833 -44.8687265333),1732892,3041498,281913,"2932 Hakataramea Highway, Ikawai",2932,2932,,Hakataramea Highway,Ikawai,Waimate District,Hakataramea Highway,"2932 Hakataramea Highway, Ikawai",Ikawai,170.80809648299999,-44.8687265333
POINT (171.07819595 -44.8436980667),1845864,3052729,38003,"4080 Waimate Highway, Morven",4080,4080,,Waimate Highway,Morven,Waimate District,Waimate Highway,"4080 Waimate Highway, Morven",Morven,171.07819595,-44.8436980667
POINT (171.1340434167 -44.91629915),1845902,1782160,36107,"250 Andrews Road, Glenavy",250,250,,Andrews Road,Glenavy,Waimate District,Andrews Road,"250 Andrews Road, Glenavy",Glenavy,171.13404341700002,-44.91629915
POINT (171.0355373 -44.7403545333),2010292,1841814,383833,"13 Hunter Crescent, Waimate",13,13,,Hunter Crescent,Waimate,Waimate District,Hunter Crescent,"13 Hunter Crescent, Waimate",Waimate,171.03553730000002,-44.7403545333
POINT (171.0306543 -44.7344006),120967,1786552,38340,"11 Hayes Street, Waimate",11,11,,Hayes Street,Waimate,Waimate District,Hayes Street,"11 Hayes Street, Waimate",Waimate,171.0306543,-44.7344006
