id,address,boolean
3414,"53 White Street, Rangiora",Request timed out
3416,"23 King Street, Rangiora",Request timed out
3417,"45 Martyn Street, Rangiora",Request timed out
3418,"60 Rowse Street, Rangiora",Request timed out
3419,"6 Foster Place, Rangiora",Request timed out
3428,"2 Matawai Close, Rangiora",Request timed out
3431,"20 Whitefield Street, Kaiapoi",Request timed out
3432,"12 Pearce Place, Kaiapoi",Request timed out
3436,"110 Revells Road, Flaxton",Request timed out
3437,"38 Hilton Street, Kaiapoi",Request timed out
3445,"42 Cass Street, Kaiapoi",Request timed out
3452,"306 Factory Road, Sefton",Request timed out
3454,"41 Cross Street, Sefton",Request timed out
3456,"17 Chinnerys Road, Woodend",Request timed out
3457,"10 Main North Road, Woodend",Request timed out
3462,"21 Bracebridge Street, Kaiapoi",Request timed out
3467,"39 Featherstone Avenue, Kairaki",Request timed out
3468,"2 Broad Road, Sefton",Request timed out
3471,"11 Pine Avenue, Waikuku Beach",Request timed out
3472,"68 Chiltons Road, Swannanoa",Request timed out
3478,"55 Aroha Street, Pegasus",Request timed out
3482,"25 Pattersons Road, Swannanoa",Request timed out
3483,"17 Wooten Place, Kaiapoi",Request timed out
3492,"14 Chester Street, Kaiapoi",Request timed out
3493,"20 Magnolia Boulevard, Kaiapoi",Request timed out
3552,"7 Sovereign Boulevard, Kaiapoi",Request timed out
3561,"22 Churchill Drive, Rangiora",Request timed out
3571,"18 Papawai Drive, Rangiora",Request timed out
3572,"10 Papawai Drive, Rangiora",Request timed out
3574,"38 Solander Road, Pegasus",Request timed out
3576,"24 Chesterfield Place, Rangiora",Request timed out
3579,"6 Marangai Drive, Pegasus",Request timed out
3583,"46 Tripoli Street, Rangiora",Request timed out
3588,"13 Rahme Crescent, Kaiapoi",Request timed out
3604,"24 Church Street, Oxford",Request timed out
3605,"12 Bay Road, Oxford",Request timed out
3609,"121 Barracks Road, Oxford",Request timed out
3619,"601 Browns Road, Swannanoa",Request timed out
3623,"27 Bromsgrove Street, Loburn",Request timed out
3628,"36 Wetherfield Lane, Swannanoa",Request timed out
3636,"6 Carrs Road, Loburn",Request timed out
3637,"12 Ashgrove Street, Rangiora",Request timed out
3646,"45 Good Street, Rangiora",Request timed out
3651,"21 Church Street, Rangiora",Request timed out
3654,"56 Church Street, Rangiora",Request timed out
3655,"61 Church Street, Rangiora",Request timed out
3660,"310 Coldstream Road, Rangiora",Request timed out
3663,"229 Northbrook Road, Rangiora",Request timed out
3667,"3 Matawai Close, Rangiora",Request timed out
3673,"5 William Coup Road, Kaiapoi",Request timed out
3675,"48 Turiwhaia Road, Tuahiwi",Request timed out
3677,"3 Black Street, Kaiapoi",Request timed out
3681,"13 Carew Street, Kaiapoi",Request timed out
3683,"25 Williams Street, Kaiapoi",Request timed out
3694,"110 Charles Street, Kaiapoi",Request timed out
3696,"6 Norton Place, Woodend",Request timed out
3698,"18 Panckhurst Drive, Woodend",Request timed out
3707,"1 Sycamore Close, Rangiora",Request timed out
3709,"294 Davis Road, Cust",Request timed out
3710,"54 Cassino Street, Rangiora",Request timed out
3715,"16 Magnate Drive, Kaiapoi",Request timed out
3717,"21 Pahua Street, Pegasus",Request timed out
3718,"225 Heywards Road, Clarkville",Request timed out
3721,"8 Ambrose Place, Rangiora",Request timed out
3727,"555 Broad Road, Balcairn",Request timed out
3728,"101 Charles Street, Rangiora",Request timed out
3730,"40 Belgrave Drive, Rangiora",Request timed out
3733,"49 Oakwood Drive, Rangiora",Request timed out
3737,"14 Pegasus Main Street, Pegasus",Request timed out
3740,"25 Palmview Drive, Rangiora",Request timed out
3741,"2 Hayson Drive, Kaiapoi",Request timed out
3742,"9 Lancewood Way, Rangiora",Request timed out
3743,"4 Amy Place, Rangiora",Request timed out
3744,"5 Murfitt Street, Pegasus",Request timed out
3753,"29 Petries Road, Woodend",Request timed out
3758,"11 Mandeville Park Drive, Swannanoa",Request timed out
3762,"103 Giles Road, Clarkville",Request timed out
3770,"7 Stonebridge Lane, Oxford",Request timed out
3773,"178 School Road, West Eyreton",Request timed out
3774,"18 Sovereign Boulevard, Kaiapoi",Request timed out
3775,"20 Sovereign Boulevard, Kaiapoi",Request timed out
3776,"1 Sovereign Boulevard, Kaiapoi",Request timed out
3777,"4 Sterling Crescent, Kaiapoi",Request timed out
3783,"16 Mandeville Park Drive, Swannanoa",Request timed out
3784,"15 Walnut Way, Rangiora",Request timed out
3788,"38 El Alamein Avenue, Rangiora",Request timed out
3797,"26 Watkins Drive, Rangiora",Request timed out
3798,"1 Manaia Street, Pegasus",Request timed out
3805,"38 Johnson Street, Kaiapoi",Request timed out
3807,"153 Glentui Bush Road, Glentui",Request timed out
3809,"42 Hodgkinson Road, Pegasus",Request timed out
3813,"59 Watkins Drive, Rangiora",Request timed out
3819,"148 Main Street, Oxford",Request timed out
3837,"291 Foothills Road, Okuku",Request timed out
3847,"32 Wetherfield Lane, Swannanoa",Request timed out
3849,"107 Mount Thomas Road, Fernside, Rangiora",Request timed out
3853,"122 Blackett Street, Rangiora",Request timed out
3856,"211 West Belt, Rangiora",Request timed out
3857,"47 Ashgrove Street, Rangiora",Request timed out
3859,"4 Jacksons Road, Ohoka",Request timed out
3860,"288 King Street, Rangiora",Request timed out
3865,"21 Queen Street, Rangiora",Request timed out
3869,"6 Parkhouse Drive, Rangiora",Request timed out
3871,"20 William Street, Rangiora",Request timed out
3883,"84 Todds Road, Rangiora",Request timed out
3890,"11 Church Bush Road, Tuahiwi",Request timed out
3891,"26 Church Bush Road, Tuahiwi",Request timed out
3895,"67 Otaki Street, Kaiapoi",Request timed out
3897,"1 Belcher Street, Kaiapoi",Request timed out
3899,"41 Fairweather Crescent, Kaiapoi",Request timed out
3903,"17 Woodend Road, Woodend",Request timed out
3911,"33 Charters Street, Kaiapoi",Request timed out
3914,"12 Petries Road, Woodend",Request timed out
3924,"36 Cassino Street, Rangiora",Request timed out
3930,"3 Alexander Lane, Kaiapoi",Request timed out
3932,"204 Carrs Road, Loburn",Request timed out
3933,"18 Blackadder Road, Pegasus",Request timed out
3937,"344 Whites Road, Ohoka",Request timed out
3938,"139 Loburn Whiterock Road, Loburn",Request timed out
3939,"61 Watsons Reserve Road, View Hill",Request timed out
3951,"627 Lineside Road, Rangiora",Request timed out
3958,"3 West Belt, Rangiora",Request timed out
3960,"19 Mara-kai Place, Pegasus",Request timed out
3961,"350 Boundary Road, Swannanoa",Request timed out
3989,"4 The Esplanade, Pegasus",Request timed out
3992,"3 Kaikanui Street, Kaiapoi",Request timed out
3993,"3 Kahu Street, Pegasus",Request timed out
4054,"18 McKays Lane, Cust",Request timed out
4087,"8 Enverton Drive, Rangiora",Request timed out
4110,"3 Epworth Street, Kaiapoi",Request timed out
4119,"2 Canon Stack Place, Kaiapoi",Request timed out
4135,"19 Charters Street, Kaiapoi",Request timed out
4136,"38 Holland Drive, Kaiapoi",Request timed out
4149,"46 Golding Avenue, Rangiora",Request timed out
4200,"7 Mara-kai Place, Pegasus",Request timed out
