,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
13534,,Christchurch ,25/03/15,C2015/2632,60 Vancouver Crescent Wainoni   Christchurch ,60 Vancouver Crescent,Wainoni, ,Lot 36 DP 20966,"3,500",dwelling alteration - installation of woodsman matai ecr mk iii freestanding dry woodburner cac - 102148
13535,,Christchurch ,25/03/15,C2015/1412,5 Sylvia Street Queenspark   Christchurch ,5 Sylvia Street,Queenspark, ,Lot 3 DP 376502,"2,500",dwelling alteration - installation of woodsman ecr mkiii free standing dry woodburner cac 102148
13540,,Christchurch ,25/03/15,C2015/2589,7 Cavan Place Mairehau   Christchurch ,7 Cavan Place,Mairehau, ,Lot 3 DP 21307,"4,800",dwelling alteration - installation of masport f3000 freestanding dry woodburner cac092856
13541,,Christchurch ,25/03/15,C2015/2590,7 Claymore Street Woolston   Christchurch ,7 Claymore Street,Woolston, ,Lot 6 DP 29616,"4,000",dwelling alteration - installation of tropicair ardos insert dry woodburner cac102621
13542,,Christchurch ,25/03/15,C2015/2596,6 Ron Place Bishopdale   Christchurch ,6 Ron Place,Bishopdale, ,Lot 27 DP 23394,"3,800",dwelling alteration - installation of woodsman ecr novo freestanding dry woodburner cac153733
13543,,Christchurch ,25/03/15,C2015/2599,5 Bayview Road Diamond Harbour   Christchurch ,5 Bayview Road,Diamond Harbour, ,Lot 3 DP 17345,"3,700",dwelling alterations - installation of masport r1500 free standing dry woodburner cac 121119
13544,,Christchurch ,25/03/15,C2015/90,176 Wainui Main Road Wainui   Christchurch ,176 Wainui Main Road,Wainui, ,Pt Lot 1 DP 15502,"1,500",dwelling alterations - installation of a metrofires wee pef freestanding woodburner nes 05/1307
13549,,Christchurch ,25/03/15,C2015/2199,66 Bayview Road Diamond Harbour   Christchurch ,66 Bayview Road,Diamond Harbour, ,Lot 3 DP 20746,"4,500",dwelling alterations - installation of metro xtreme rad freestanding dry woodburner cac132245
13550,,Christchurch ,25/03/15,C2015/2218,6 Algie Place Avonhead   Christchurch ,6 Algie Place,Avonhead, ,Lot 15 DP 45994,"4,500",dwelling alteration - woodsman tasman mkii dry freestanding woodburner - cac142898
13551,,Christchurch ,25/03/15,C2015/2206,8 Chilcombe Street Ilam   Christchurch ,8 Chilcombe Street,Ilam, ,Lot 1 DP 12929,"4,500",dwelling alterations - installation of a masport 13000 insert wetback woodburner cac111333
13558,,Christchurch ,25/03/15,C2015/2017,29 Achilles Street Dallington   Christchurch ,29 Achilles Street,Dallington, ,Lot 14 DP 14990,"5,000",dwelling alteration - masport f3000 dry freestanding woodburner - cac092856
13559,,Christchurch ,25/03/15,C2015/1543,45 Liverton Crescent Bishopdale   Christchurch ,45 Liverton Crescent,Bishopdale, ,Lot 49 DP 22114,"5,000",dwelling alterations - installation of masport r5000p freestanding dry woodburner cac131295
13565,,Christchurch ,26/03/15,C2014/12427/A,23 Seaview Lane Wainui   Christchurch ,23 Seaview Lane,Wainui, ,Lot 14 DP 59103,100,amendment 1 -  change deck construction and sfh to woodsman novo wet logburner cac153733
13568,,Christchurch ,26/03/15,C2015/1870,40 Marine Drive Diamond Harbour   Christchurch ,40 Marine Drive,Diamond Harbour, ,Lot 45 DP 9607,"4,850","dwelling alterations - relocate laundry, add new vanity and shower in bathroom and install masport r5000 free standing dry wood burner cac 131295"
13574,,Christchurch ,26/03/15,C2015/2597,112 Petrie Street Richmond   Christchurch ,112 Petrie Street,Richmond, ,Lot 47 DP 7989,"4,800",dwelling alterations installation of pyro classic iv clean free standing wet woodburner cac 121122
13575,,Christchurch ,26/03/15,C2015/2262,262 Cannon Hill Crescent St Andrews Hill   Christchurch ,262 Cannon Hill Crescent,St Andrews Hill, ,Lot 6 DP 22090,"10,000",dwelling alterations - installation of two  soild fuel heaters - wamington studio  free standing dry wood burner  cac 071226 and woodsman flare free standing wetback woodburner  cac 135021
13577,,Christchurch ,26/03/15,C2015/2239,217 Centaurus Road St Martins   Christchurch ,217 Centaurus Road,St Martins, ,"Pt Lots 1,1 DP 9996","6,000",dwelling alteration - woodsman totara dry insert woodburner - cac110220
13581,,Christchurch ,26/03/15,C2015/2667,52 Hackthorne Road Cashmere   Christchurch ,52 Hackthorne Road,Cashmere, ,Pt Lot 84 DP 2159,"4,500",dwelling alteration - installation of masport le4000 provincal  insert dry woodburner cac071591
