,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
426,,Ashburton,6/05/15,Ab0427/15,102 Grove Street Tinwald   Ashburton,102 Grove Street Tinwald,,,,"2,500",install an inbuilt woodsman totara logfire
429,,Ashburton,7/05/15,Ab0399/15,20 Belt Road Ashburton   Ashburton,20 Belt Road Ashburton,,,,"5,000",heating unit - f/s firenzo viking ag logfire on existing wetback
430,,Ashburton,7/05/15,Ab0412/15,36 Allens Road Ashburton   Ashburton,36 Allens Road Ashburton,,,,"2,925",install a f/s jayline ss600l log fire.
432,,Ashburton,8/05/15,Ab0469/15,5 Hanrahan Street Ashburton   Ashburton,5 Hanrahan Street Ashburton,,,,"6,000",heating unit - install an inbuilt masport le4000 log fire.
433,,Ashburton,8/05/15,Ab0455/15,41 Alford Forest Cemetery Road Ashburton District   Ashburton,41 Alford Forest Cemetery Road Ashburton District,,,,"5,000",heating unit - install a f/s woodsman tasman mkii log fire.
434,,Ashburton,8/05/15,Ab0436/15,79 Cambridge Street Ashburton   Ashburton,79 Cambridge Street Ashburton,,,,"4,990",install an inbuilt firenzo kompact plaza urban sd ag log fire.
435,,Ashburton,8/05/15,Ab0432/15,100 Beach Road Ashburton   Ashburton,100 Beach Road Ashburton,,,,"4,900",install a inbuilt masport le4000 log fire.
436,,Ashburton,8/05/15,Ab0446/15,87 Wakanui School Road Ashburton District   Ashburton,87 Wakanui School Road Ashburton District,,,,"4,500",install a f/s woodsman tarras rural mkiii log fire.
437,,Ashburton,8/05/15,Ab0434/15,19 Nixon Street Tinwald   Ashburton,19 Nixon Street Tinwald,,,,"4,050",install a woodsman ecr nova logfire.
438,,Ashburton,8/05/15,Ab0440/15,35 Leeston Street Ashburton   Ashburton,35 Leeston Street Ashburton,,,,"3,900",install a f/s woodsman tarras mkiii log fire on wetback
439,,Ashburton,8/05/15,Ab0453/15,30 Davidson Street Ashburton   Ashburton,30 Davidson Street Ashburton,,,,"3,500",install a f/s masport r5000 log fire.
440,,Ashburton,8/05/15,Ab0441/15,71 David Street Hinds   Ashburton,71 David Street Hinds,,,,"3,000",install a masport r5000p log fire.
441,,Ashburton,8/05/15,Ab0442/15,287 Rules Road Ashburton District   Ashburton,287 Rules Road Ashburton District,,,,"3,000",install a f/s woodsman tarras mkiii log fire.
442,,Ashburton,8/05/15,Ab0413/15,18 Andrew Street Ashburton   Ashburton,18 Andrew Street Ashburton,,,,"3,000",install an inbuilt woodsman totara logfire
443,,Ashburton,8/05/15,Ab0414/15,7 Church Street Ashburton   Ashburton,7 Church Street Ashburton,,,,"3,000",install an inbuilt woodsman totara logfire
444,,Ashburton,8/05/15,Ab0415/15,13 Davis Crescent Ashburton   Ashburton,13 Davis Crescent Ashburton,,,,"3,000",install an inbuilt woodsman totara logfire
445,,Ashburton,8/05/15,Ab0452/15,8 Elizabeth Avenue Rakaia   Ashburton,8 Elizabeth Avenue Rakaia,,,,"3,000",install an inbuilt woodsman totara log fire.
446,,Ashburton,8/05/15,Ab0447/15,48 Wellington Street Ashburton   Ashburton,48 Wellington Street Ashburton,,,,"2,700",install a inbuilt masport 15000 logfire.
447,,Ashburton,8/05/15,Ab0439/15,16 Mt Guy Street Ashburton District   Ashburton,16 Mt Guy Street Ashburton District,,,,"2,500",install a f/s woodsman ecr mkiii logfire
448,,Ashburton,8/05/15,Ab0400/15,59 Peter Street Ashburton   Ashburton,59 Peter Street Ashburton,,,,"2,500","install a f/s woodsman novo log fire in an alcove,"
449,,Ashburton,11/05/15,Ab0224/15,59 Middle Road Ashburton   Ashburton,59 Middle Road Ashburton,,,,"900,000",construct a new three bedroom dwelling with attached garage and log burner
450,,Ashburton,11/05/15,Ab0456/15,113 Belt Road Ashburton   Ashburton,113 Belt Road Ashburton,,,,"4,250",heating unit - install a f/s woodsman tasman mkiii log fire.
456,,Ashburton,13/05/15,Ab0269/15,45 Mckays Road Ashburton District   Ashburton,45 Mckays Road Ashburton District,,,,"50,000",internal alterations & new log burner
466,,Ashburton,15/05/15,Ab0459/15,80 Mcmurdo Street Tinwald   Ashburton,80 Mcmurdo Street Tinwald,,,,"4,950",heating unit - install a af/s woodsman tarris mkiii logfire.
468,,Ashburton,15/05/15,Ab0460/15,843 Jamiesons Road Ashburton District   Ashburton,843 Jamiesons Road Ashburton District,,,,"3,500",heating unit - install a f/s masport r5000 rural ped log fire.
471,,Ashburton,18/05/15,Ab0478/15,5 Balmoral Place Ashburton   Ashburton,5 Balmoral Place Ashburton,,,,"5,050",heating unit - install a f/s woodsman tasman log burner.
472,,Ashburton,18/05/15,Ab0480/15,36 Wakanui Road Ashburton District   Ashburton,36 Wakanui Road Ashburton District,,,,"4,850",heating unit - install a f/s woodsman tarris mkiii log fire.
473,,Ashburton,18/05/15,Ab0463/15,36 Lowes Road Ashburton District   Ashburton,36 Lowes Road Ashburton District,,,,"4,816",heating unit - install a f/s firenzo bronte wet log fire on existing wet back
474,,Ashburton,18/05/15,Ab0464/15,693 Wakanui Road Ashburton District   Ashburton,693 Wakanui Road Ashburton District,,,,"4,780",heating unit - install a f/s masport osburn 1600 log fire.
475,,Ashburton,18/05/15,Ab0465/15,15 Churchill Avenue Ashburton   Ashburton,15 Churchill Avenue Ashburton,,,,"4,775",heating unit - install a f/s masport f3300c log fire.
476,,Ashburton,18/05/15,Ab0466/15,846 Singletree Road Ashburton District   Ashburton,846 Singletree Road Ashburton District,,,,"4,620",heating unit - install a f/s masport r5000 rural log fire.
477,,Ashburton,18/05/15,Ab0486/15,31 Wakanui Road Ashburton District   Ashburton,31 Wakanui Road Ashburton District,,,,"4,000",heating unit - install a f/s masport osborn 1600 on wetback log fire.
478,,Ashburton,18/05/15,Ab0488/15,23 Porter Street Ashburton   Ashburton,23 Porter Street Ashburton,,,,"2,500",heating unit - install a f/s masport r5000 log fire.
482,,Ashburton,19/05/15,Ab0481/15,40 Grove Street Tinwald   Ashburton,40 Grove Street Tinwald,,,,"4,500",heating unit - install inbuilt masport le4000 logburner.
486,,Ashburton,20/05/15,Ab0502/15,39 Grayburn Road Ashburton   Ashburton,39 Grayburn Road Ashburton,,,,"5,915",heating unit - install a f/s masport f3300c log fire.
487,,Ashburton,20/05/15,Ab0490/15,1681 Hakatere Heron Road Ashburton District   Ashburton,1681 Hakatere Heron Road Ashburton District,,,,"5,000",install a f/s milan tuscany logfire on wetback
488,,Ashburton,20/05/15,Ab0493/15,21 Alford Forest Road Ashburton District   Ashburton,21 Alford Forest Road Ashburton District,,,,"5,000",install a f/s masport mackenzie r10000 logfire
489,,Ashburton,20/05/15,Ab0501/15,2659 Ashburton Staveley Road Ashburton District   Ashburton,2659 Ashburton Staveley Road Ashburton District,,,,"4,800",heating unit - install a f/s masport osburn mkii 1600 log fire on wetback
491,,Ashburton,20/05/15,Ab0496/15,56 Middle Road Ashburton   Ashburton,56 Middle Road Ashburton,,,,"2,566",heating unit - install a f/s masport r5000 log fire.
493,,Ashburton,21/05/15,Ab0497/15,412 Westerfield Lismore Road Ashburton District   Ashburton,412 Westerfield Lismore Road Ashburton District,,,,"4,800",heating unit - install a f/s woodsman tarras mkiii log fire.
500,,Ashburton,25/05/15,Ab0518/15,143 Harland Street Tinwald   Ashburton,143 Harland Street Tinwald,,,,"5,000",install a f/s woodsman tasman logfire
501,,Ashburton,25/05/15,Ab0515/15,783 Fairfield Road Ashburton District   Ashburton,783 Fairfield Road Ashburton District,,,,"4,500",heating unit - inbuilt masport le4000 logfire
502,,Ashburton,25/05/15,Ab0503/15,1683 Pole Road Ashburton District   Ashburton,1683 Pole Road Ashburton District,,,,"4,360",heating unit - install a f/s masport r5000 rural ped log fire.
503,,Ashburton,25/05/15,Ab0505/15,7 Houston Place Ashburton   Ashburton,7 Houston Place Ashburton,,,,"3,850",heating unit - install a f/s masport r1500 ped log fire.
504,,Ashburton,25/05/15,Ab0509/15,43 Clark Street Ashburton   Ashburton,43 Clark Street Ashburton,,,,"3,650",heating unit - install a f/s woodsman ecr mkiii log fire
505,,Ashburton,25/05/15,Ab0519/15,179 Main Street Methven   Ashburton,179 Main Street Methven,,,,"3,500",heating unit - install a f/s woodsman ecr nova log fire.
506,,Ashburton,25/05/15,Ab0504/15,62 Prices Road Mt Somers   Ashburton,62 Prices Road Mt Somers,,,,"3,000",heating unit - install a f/s masport r5000 log fire.
517,,Ashburton,28/05/15,Ab0534/15,608 Trevors Road Ashburton District [Carew]   Ashburton,608 Trevors Road Ashburton District [Carew],,,,"5,680",install a f/s masport osburn 1600 logfire on wetback
518,,Ashburton,28/05/15,Ab0521/15,69 Grayburn Road Ashburton   Ashburton,69 Grayburn Road Ashburton,,,,"5,500",heating unit - f/s contessa ag logfire
519,,Ashburton,28/05/15,Ab0529/15,25 Surveyors Road Ashburton District   Ashburton,25 Surveyors Road Ashburton District,,,,"5,000",heating unit - install an inbuilt metro smart log fire on existing wetback.
520,,Ashburton,28/05/15,Ab0526/15,377 Emersons Road Ashburton District   Ashburton,377 Emersons Road Ashburton District,,,,"5,000",heating unit - install a f/s masport osburn 1600 log fire.
522,,Ashburton,28/05/15,Ab0528/15,215 Terrace Road Ashburton District   Ashburton,215 Terrace Road Ashburton District,,,,"4,445",heating unit - install a inbuilt kent rata insert log fire.
523,,Ashburton,28/05/15,Ab0531/15,5 Ferrier Place Tinwald   Ashburton,5 Ferrier Place Tinwald,,,,"4,200",heating unit - install a firenzo contessa ag dry f/s logfire.
524,,Ashburton,28/05/15,Ab0525/15,108 Smithfield Road Ashburton   Ashburton,108 Smithfield Road Ashburton,,,,"4,111",heating unit - install a f/s masport r5000r log fire.
525,,Ashburton,28/05/15,Ab0533/15,140 Railway Terrace Rakaia   Ashburton,140 Railway Terrace Rakaia,,,,"4,100",install a f/s yunca hobson logfire
526,,Ashburton,28/05/15,Ab0523/15,19 Princes Street Ashburton   Ashburton,19 Princes Street Ashburton,,,,"4,089",heating unit - install a f/s masport r5000 log fire.
527,,Ashburton,28/05/15,Ab0535/15,103 Spaxton Street Methven   Ashburton,103 Spaxton Street Methven,,,,"3,796",install a f/s woodsman tarras mkii logfire on wetback
528,,Ashburton,28/05/15,Ab0532/15,71 Leeston Street Ashburton   Ashburton,71 Leeston Street Ashburton,,,,"3,400",heating unit - install a woodsman totara inbuilt log fire.
534,,Ashburton,29/05/15,Ab0539/15,185 Highbank Cairnbrae Road Ashburton District   Ashburton,185 Highbank Cairnbrae Road Ashburton District,,,,"4,850",install a f/s yunca hobson logfire
535,,Ashburton,29/05/15,Ab0538/15,8 Lampard Street Methven   Ashburton,8 Lampard Street Methven,,,,"4,850",install a f/s masport r1500 ws logfire
536,,Ashburton,29/05/15,Ab0543/15,1284 Methven Highway Ashburton District   Ashburton,1284 Methven Highway Ashburton District,,,,"4,416",install a f/s masport r5000 logfire
539,,Ashburton,2/06/15,Ab0544/15,21 Belt Road Ashburton   Ashburton,21 Belt Road Ashburton,,,,"6,000",install a f/s firenzo viking logfire
542,,Ashburton,3/06/15,Ab0546/15,36 Cridland Street Rakaia   Ashburton,36 Cridland Street Rakaia,,,,"4,800",heating unit - install a f/s masport osburn 1600 wet log fire on existing w/b.
543,,Ashburton,3/06/15,Ab0550/15,84 Middle Road Ashburton   Ashburton,84 Middle Road Ashburton,,,,"4,200",heating unit - install a inbuilt masport le4000 log fire.
544,,Ashburton,3/06/15,Ab0549/15,501 West Street Ashburton   Ashburton,501 West Street Ashburton,,,,"3,500",heating unit - install a f/s masport r1500 logfire.
553,,Ashburton,5/06/15,Ab0551/15,97 Normanby Road Rakaia   Ashburton,97 Normanby Road Rakaia,,,,"5,500",heating unit - install a f/s masport r5000 rural logfire on a existing wetback.
554,,Ashburton,5/06/15,Ab0554/15,104 Wills Street Ashburton   Ashburton,104 Wills Street Ashburton,,,,"5,000",heating unit - install a f/s masport r1500 ped log fire.
555,,Ashburton,5/06/15,Ab0553/15,80 Thomson Street Tinwald   Ashburton,80 Thomson Street Tinwald,,,,"4,350",heating unit - install a f/s masport r1500 ped  logfire.
556,,Ashburton,5/06/15,Ab0552/15,63 Creek Road Ashburton   Ashburton,63 Creek Road Ashburton,,,,"4,150",heating unit - install a inbuilt masport bannockburn i2000 log fire.
557,,Ashburton,5/06/15,Ab0555/15,160 Grove Street Tinwald   Ashburton,160 Grove Street Tinwald,,,,"4,000",heating unit - install a f/s masport r1500 log fire.
568,,Ashburton,12/06/15,Ab0571/15,10 Westpark Close Ashburton   Ashburton,10 Westpark Close Ashburton,,,,"4,890",heating unit - install a f/s  firenzo bronte logfire.
569,,Ashburton,12/06/15,Ab0572/15,60 Grove Street Tinwald   Ashburton,60 Grove Street Tinwald,,,,"4,548",heating unit - install a f/s masport f3000 logfire.
570,,Ashburton,12/06/15,Ab0570/15,29 William Street Ashburton District   Ashburton,29 William Street Ashburton District,,,,"4,321",heating unit - install a f/s masport r5000 leg logfire on existing wetback
571,,Ashburton,12/06/15,Ab0569/15,152 Victoria Street Ashburton   Ashburton,152 Victoria Street Ashburton,,,,"3,733",heating unit - install a f/s masport r1500 ped logfire.
580,,Ashburton,16/06/15,Ab0594/15,115 Pages Road Ashburton   Ashburton,115 Pages Road Ashburton,,,,"6,000",heating unit - install a f/s pyroclassic iv logfire.
581,,Ashburton,16/06/15,Ab0596/15,32 Wakanui Road Ashburton District   Ashburton,32 Wakanui Road Ashburton District,,,,"5,450",heating unit- install a f/s masport telisman log fire.
582,,Ashburton,16/06/15,Ab0593/15,48 Agnes Street Tinwald   Ashburton,48 Agnes Street Tinwald,,,,"4,593",heating unit - install a f/s masport r5000 ws log fire.
584,,Ashburton,16/06/15,Ab0583/15,26 Bathurst Street Ashburton   Ashburton,26 Bathurst Street Ashburton,,,,"3,856",heating unit - install a f/s woodsman ecr novo log fire.
585,,Ashburton,16/06/15,Ab0595/15,88 Eton Street Ashburton District   Ashburton,88 Eton Street Ashburton District,,,,"3,514",heating unit - install a f/s woodsman ecr nova logfire.
586,,Ashburton,16/06/15,Ab0585/15,58 Chalmers Avenue Ashburton District   Ashburton,58 Chalmers Avenue Ashburton District,,,,"3,500",heating unit - install a f/s woodsman brunner mkii log fire.
587,,Ashburton,16/06/15,Ab0587/15,125 Dobson Street Ashburton   Ashburton,125 Dobson Street Ashburton,,,,"3,000",install an inbuilt woodsman totara logfire
596,,Ashburton,18/06/15,Ab0597/15,41 William Street Ashburton District   Ashburton,41 William Street Ashburton District,,,,"4,200",heating unit - install a f/s masport osburn 1600 log fire on existing wet back.
606,,Ashburton,24/06/15,Ab0614/15,439 Dawsons Road Ashburton District   Ashburton,439 Dawsons Road Ashburton District,,,,"5,860",heating unit - install a f/s woodsman tarris mkii wb logfire on existing wet back.
607,,Ashburton,24/06/15,Ab0602/15,15 Manchester Street Tinwald   Ashburton,15 Manchester Street Tinwald,,,,"5,000",install a f/s masport f3000 logfire
610,,Ashburton,24/06/15,Ab0601/15,530 East Street Ashburton   Ashburton,530 East Street Ashburton,,,,"4,196",heating unit - install a f/s  masport r5000 leg log fire.
612,,Ashburton,24/06/15,Ab0626/15,176 Upper Downs Road Ashburton District   Ashburton,176 Upper Downs Road Ashburton District,,,,"3,000",install a f/s metro wee rad log fire.
613,,Ashburton,24/06/15,Ab0599/15,32 Russell Avenue Ashburton   Ashburton,32 Russell Avenue Ashburton,,,,"2,500",heating unit - install a f/s woodsman brunner ii log fire on existing wetback.
617,,Ashburton,25/06/15,Ab0600/15,54 Farm Road Ashburton   Ashburton,54 Farm Road Ashburton,,,,"4,254","heating unit - install a f/s masport osburn 1600 logfire. 
variation to logfire - from the above to a f/s firenzo viking ag - approved."
627,,Ashburton,30/06/15,Ab0629/15,6 Tucker Street Ashburton   Ashburton,6 Tucker Street Ashburton,,,,"3,000",install an inbuilt woodsman totara logfire
630,,Ashburton,1/07/15,Ab0484/15,490 Old Main South Road Ashburton District   Ashburton,490 Old Main South Road Ashburton District,,,,"405,288","new 4 bdrm single level dwelling with attached gge
bracing variation approved 3/8/15 - mw
amendment 3/8/15 - install a f/s contessa ag logfire. ba0051/15."
632,,Ashburton,2/07/15,Ab0640/15,8 Allison Street Ashburton   Ashburton,8 Allison Street Ashburton,,,,"3,900",heating unit - install f/s woodsman nova log fire.
633,,Ashburton,2/07/15,Ab0630/15,33 Hekeao Road Ashburton District   Ashburton,33 Hekeao Road Ashburton District,,,,"3,050",heating unit - install a f/s woodsman tarras mkiii log fire.
634,,Ashburton,2/07/15,Ab0644/15,52 Middle Road Ashburton   Ashburton,52 Middle Road Ashburton,,,,"4,200",heating unit  -  install a inbuilt woodsman totara log fire.
635,,Ashburton,2/07/15,Ab0634/15,228 Dobson Street Ashburton   Ashburton,228 Dobson Street Ashburton,,,,"3,850",install an inbuilt woodsman totara logfire
636,,Ashburton,2/07/15,Ab0633/15,179 Harland Street Tinwald   Ashburton,179 Harland Street Tinwald,,,,"4,950",install a f/s woodsman brunner mkii logfire
637,,Ashburton,2/07/15,Ab0637/15,29 Aitken Street Ashburton   Ashburton,29 Aitken Street Ashburton,,,,"5,000",heating unit - install a f/s masport r5000 log fire on wet back.
638,,Ashburton,2/07/15,Ab0635/15,21 Cameron Street Methven   Ashburton,21 Cameron Street Methven,,,,"5,500",install a f/s woodsman tarris mklll logfire on existing wetback
647,,Ashburton,8/07/15,Ab0664/15,34 Mayfield Klondyke Road Ashburton District   Ashburton,34 Mayfield Klondyke Road Ashburton District,,,,"5,000",heating unit - install a f/s masport mackenzie r1000 log fire.
649,,Ashburton,8/07/15,Ab0662/15,13 Galbraith Street Ashburton District   Ashburton,13 Galbraith Street Ashburton District,,,,"4,565",heating unit - f/s masport r5000l logfire
650,,Ashburton,8/07/15,Ab0659/15,211 Tinwald Westerfield Mayfield Road Ashburton District   Ashburton,211 Tinwald Westerfield Mayfield Road Ashburton District,,,,"5,000",heating unit - f/s woodsman tarras mkiii logfire
652,,Ashburton,8/07/15,Ab0658/15,471 Mcdougalls Road Ashburton District   Ashburton,471 Mcdougalls Road Ashburton District,,,,"4,950",heating unit - inbuilt firenzo kompact forte ru logfire
653,,Ashburton,8/07/15,Ab0660/15,2238 Arundel Rakaia Gorge Road Ashburton District   Ashburton,2238 Arundel Rakaia Gorge Road Ashburton District,,,,"4,550",heating unit - f/s woodsman tarras mkiii logfire
654,,Ashburton,8/07/15,Ab0661/15,63 Grove Street Tinwald   Ashburton,63 Grove Street Tinwald,,,,"3,300",heating unit - f/s woodsman ecr  novo logfire
659,,Ashburton,13/07/15,Ab0671/15,17 Blackford Street Ashburton District   Ashburton,17 Blackford Street Ashburton District,,,,"4,980",heating unit - f/s woodsman flare - box logfire
