id,add,statue
4205,"53 Maffeys Road, Mount Pleasant, Christchurch",Request timed out
4242,"24 Sheffield Crescent, Burnside, Christchurch",Request timed out
4256,"35 Cardinal Drive, Hillmorton, Christchurch",Request timed out
4258,"85 Harris Crescent, Papanui, Christchurch",Request timed out
4260,"15 Morley Street, Bryndwr, Christchurch",Request timed out
4262,"28 O'Leary Street, Hoon Hay, Christchurch",Request timed out
4267,"3 Lindores Street, Addington, Christchurch",Request timed out
4275,"2 Glenfield Crescent, Mairehau, Christchurch",Request timed out
4296,"109 Main Road, Redcliffs, Christchurch",Request timed out
4298,"8 The Spur, Clifton, Christchurch",Request timed out
4303,"32 Wattle Drive, New Brighton, Christchurch",Request timed out
4314,"12 Warhorse Gate, Halswell, Christchurch",Request timed out
4318,"77 Boston Avenue, Hornby, Christchurch",Request timed out
4320,"10 Karnak Crescent, Russley, Christchurch",Request timed out
4326,"21 Bevington Street, Avonhead, Christchurch",Request timed out
4329,"4 Glenburn Place, Avonhead, Christchurch",Request timed out
4348,"120 Hoon Hay Road, Hoon Hay, Christchurch",Request timed out
4352,"20 Glynne Crescent, Spreydon, Christchurch",Request timed out
4366,"11 Walton Street, Sydenham, Christchurch",Request timed out
4372,"135 Centaurus Road, Huntsbury, Christchurch",Request timed out
4376,"35 MacKenzie Avenue, Woolston, Christchurch",Request timed out
4387,"11 Rowses Road, Aranui, Christchurch",Request timed out
4390,"43 Corhampton Street, Aranui, Christchurch",Request timed out
4396,"15 Falcon Street, New Brighton, Christchurch",Request timed out
4406,"20/336 Lincoln Road, Addington, Christchurch",Request timed out
4435,"2/9 Speight Street, Mairehau, Christchurch",Request timed out
4458,"60 Waterloo Road, Hornby, Christchurch",Request timed out
4471,"2/15 Elvira Court, Bishopdale, Christchurch",Request timed out
4507,"214 Hoon Hay Road, Hoon Hay, Christchurch",Request timed out
4508,"35 Mavin Road, Hoon Hay, Christchurch",Request timed out
4521,"12 Carrick Street, Mairehau, Christchurch",Request timed out
4532,"17 Anfield Street, Brooklands, Christchurch",Request timed out
4533,"35 Charon Street, Brooklands, Christchurch",Request timed out
4554,"2/21 Allard Street, Edgeware, Christchurch",Request timed out
4569,"108 McGregors Road, Linwood, Christchurch",Request timed out
4572,"35 Hampshire Street, Aranui, Christchurch",Request timed out
4574,"43A Sumnervale Drive, Sumner, Christchurch",Request timed out
4591,"2/106B Edinburgh Street, Spreydon, Christchurch",Request timed out
4598,"1/19 Boon Street, Sydenham, Christchurch",Request timed out
4599,"1/118 Estuary Road, South New Brighton, Christchurch",Request timed out
4636,"25 Worthy Street, Ilam, Christchurch",Request timed out
4646,"39 Earnslaw Crescent, Bryndwr, Christchurch",Request timed out
4647,"17 Christian Street, Bryndwr, Christchurch",Request timed out
