id,address,boolean
812,"174 Haymans Road, Waimate",Request timed out
816,"132 Waimate Hunter Road, Waimate",Request timed out
828,"5 Parker Street, Glenavy",Request timed out
851,"5 Kapua School Road, Waimate",Request timed out
852,"159 Hannaton Road, Waimate",Request timed out
874,"37 Maude Street, Waimate",Request timed out
875,"11 Churchill Place, Waimate",Request timed out
876,"92 High Street, Waimate",Request timed out
895,"143 Akatere Road, Makikihi",Request timed out
896,"11 Galletys Road, Saint Andrews",Request timed out
897,"555 Pareora Gorge Road, Maungati",Request timed out
898,"26 Substation Road, Glenavy",Request timed out
899,"11 Browns Avenue, Waimate",Request timed out
900,"2390 Back Line Road, Otaio",Request timed out
901,"49A Belt Street, Waimate",Request timed out
902,"157B High Street, Waimate",Request timed out
903,"69 Wilsons Road, Makikihi",Request timed out
904,"3440 Waimate Highway, Waimate",Request timed out
905,"11 Hunter Crescent, Waimate",Request timed out
911,"183 Timaru Road, Waimate",Request timed out
923,"14 Mary Street, Waimate",Request timed out
925,"30 Innes Street, Waimate",Request timed out
926,"9 Manse Street, Waimate",Request timed out
927,"103 Shearman Street, Waimate",Request timed out
928,"29 Point Bush Road, Waimate",Request timed out
937,"235 Meyers Pass Road, Waihaorunga",Request timed out
945,"90 Rathgens Road, Makikihi",Request timed out
946,"729 Hook School Road, Makikihi",Request timed out
948,"791 Pareora River Road, Southburn",Request timed out
956,"300 Guerins Road, Hunters Hills",Request timed out
968,"18 John Street, Waimate",Request timed out
969,"1 Edward Street, Waimate",Request timed out
970,"8 Edward Street, Waimate",Request timed out
974,"316 Campbell and Forrests Road, Otaio",Request timed out
975,"4 Otaio Cemetery Road, Otaio",Request timed out
976,"274 Esk Bank Road, Otaio",Request timed out
978,"45 Hunts Road, Waimate",Request timed out
990,"12 Coronation Street, Waimate",Request timed out
1005,"1201 Hakataramea Pass Road, Cattle Creek",Request timed out
1006,"159 Gormans Road, Cattle Creek",Request timed out
1007,"247 Archibald Road, Morven",Request timed out
1008,"73 Dohrmans Road, Waimate",Request timed out
1009,"45 Matata Road, Hunters Hills",Request timed out
1042,"292 Limestone Hills Road, Waimate",Request timed out
1044,"114 Maytown Road, Waimate",Request timed out
1080,"361 Lyalldale Road, Saint Andrews",Request timed out
1108,"592 Morven Glenavy Road, Morven",Request timed out
1109,"201 Point Bush Road, Waimate",Request timed out
1110,"617 Mill Road, Waimate",Request timed out
1111,"72 Parsonage Road, Waimate",Request timed out
1112,"1419 Cannington Road, Hunters Hills",Request timed out
1113,"256 Andrews Road, Glenavy",Request timed out
1114,"19 Farm Road, Hakataramea, Kurow",Request timed out
1115,"230 Queen Street, Waimate",Request timed out
1116,"8 Allan Street, Waimate",Request timed out
1123,"88 Shearman Street, Waimate",Request timed out
1131,"29 MacLean Street, Morven",Request timed out
1135,"164 Hayes Road, Hakataramea, Kurow",Request timed out
1136,"264 Waihaorunga Road, Waihaorunga",Request timed out
1137,"795 Hakataramea Highway, Waimate",Request timed out
1142,"382 Ward Road, Southburn",Request timed out
1143,"61 Howells Road, Maungati",Request timed out
1144,"1174 Waimate Highway, Otaio",Request timed out
1160,"12 Mill Road, Waimate",Request timed out
1174,"163 Upper Hook Road, Hunter",Request timed out
1175,"46 Wilkin Road, Makikihi",Request timed out
1176,"26 Esk Valley Road, Otaio",Request timed out
1177,"248 Ward Road, Southburn",Request timed out
1178,"245 Gordons Valley Road, Maungati",Request timed out
1179,"192 Fletchers Road, Waimate",Request timed out
1180,"161 Hurstlea Road, Hakataramea Valley",Request timed out
1185,"6 George Street, Waimate",Request timed out
1186,"13 Rugby Street, Waimate",Request timed out
1190,"20A Manse Street, Waimate",Request timed out
1191,"9/4963 Waimate Highway, Glenavy",Request timed out
1195,"179 Hannaton Road, Waimate",Request timed out
1198,"91 Garlands Road, Waimate",Request timed out
1199,"170 Parsonage Road, Waimate",Request timed out
1200,"366 Tavistock Road, Otaio",Request timed out
1201,"746 Pareora River Road, Southburn",Request timed out
1202,"150 Ward Road, Southburn",Request timed out
1203,"14 Innes Street, Waimate",Request timed out
1205,"1B Saul Shrives Place, Waimate",Request timed out
1206,"26/4963 Waimate Highway, Glenavy",Request timed out
1207,"24 Allan Street, Waimate",Request timed out
1208,"39 Opie Street, Waimate",Request timed out
1209,"16 Opie Street, Waimate",Request timed out
1220,"32 Waimate Highway, Saint Andrews",Request timed out
1263,"70 Rhodes Street, Waimate",Request timed out
1264,"200 Queen Street, Waimate",Request timed out
1277,"10 Hillary Street, Waimate",Request timed out
1291,"5 McLean Street, Glenavy",Request timed out
1292,"90 Waituna School Road, Waimate",Request timed out
1297,"22 Hughes Street, Waimate",Request timed out
1298,"4 Coronation Street, Waimate",Request timed out
1299,"59 Shearman Street, Waimate",Request timed out
1335,"27 Manse Street, Waimate",Request timed out
1337,"23 Point Bush Road, Waimate",Request timed out
1366,"16 Queen Street, Waimate",Request timed out
1367,"1 Maude Street, Waimate",Request timed out
1368,"94 Queen Street, Waimate",Request timed out
1382,"61 Pareora River Road, Saint Andrews",Request timed out
1389,"17 Ruane Street, Glenavy",Request timed out
1402,"19 Rugby Street, Waimate",Request timed out
1405,"4 Edward Street, Waimate",Request timed out
1435,"11 Regent Street, Waimate",Request timed out
1474,"8 Parsonage Road, Waimate",Request timed out
1506,"164 High Street, Waimate",Request timed out
1507,"21 Manse Street, Waimate",Request timed out
1511,"10 Massey Street, Waimate",Request timed out
1512,"14 Browns Avenue, Waimate",Request timed out
1514,"12 Parsonage Road, Waimate",Request timed out
1534,"210 High Street, Waimate",Request timed out
1540,"24 Leonard Street, Waimate",Request timed out
1552,"22 Hunts Road, Waimate",Request timed out
1560,"145 High Street, Waimate",Request timed out
1561,"54 Harris Street, Waimate",Request timed out
1573,"44 Makikihi Beach Road, Makikihi",Request timed out
1582,"16 Makikihi Hunter Road, Makikihi",Request timed out
1600,"22 High Street, Waimate",Request timed out
1605,"48 Parker Street, Glenavy",Request timed out
1610,"39 Sullivan Road, Saint Andrews",Request timed out
1611,"4248 Waimate Highway, Morven",Request timed out
1625,"19 Parsonage Road, Waimate",Request timed out
1629,"31 MacLean Street, Morven",Request timed out
1632,"190 Mairos Road, Morven",Request timed out
1633,"25 Lindsays Road, Waimate",Request timed out
1634,"54 Willowbridge Settlement Road, Waimate",Request timed out
1643,"135 Stanleys Road, Otaio",Request timed out
1655,"428 Hayes Road, Hakataramea, Kurow",Request timed out
